,IL6,IL10,TNFalpha,CRP,ACTH,PTC
IL6,1.0,0.007693699761850528,-0.059391266585249756,0.48753239512776125,0.014323883200799211,0.11884006077255671
IL10,0.007693699761850528,1.0,0.13641744054286178,0.027916731096399132,0.014930187101588919,0.13248375186526237
TNFalpha,-0.059391266585249756,0.13641744054286178,1.0,-0.039926963870854794,0.07398925315247075,0.05756542162814879
CRP,0.48753239512776125,0.027916731096399132,-0.039926963870854794,1.0,-0.027876174349498507,0.11670241147898759
ACTH,0.014323883200799211,0.014930187101588919,0.07398925315247075,-0.027876174349498507,1.0,0.5225164897041062
PTC,0.11884006077255671,0.13248375186526237,0.05756542162814879,0.11670241147898759,0.5225164897041062,1.0
