feature,auc,n_samples,ci_lower,ci_upper
IL6,0.5289932126696832,461,0.47388089392457305,0.5862074466883528
IL10,0.4960314950670377,386,0.43710151290635346,0.5612107861993785
TNFalpha,0.5010791595251698,385,0.4343744402962274,0.5633751445882171
CRP,0.47886441916292655,478,0.4244678407017907,0.5331088444645373
ACTH,0.42196483276679675,479,0.3645776533581501,0.47860059312782943
PTC,0.4645410351730055,386,0.40498146791611384,0.5279558246901087
