feature,skew,kurtosis
IL6,4.183867930822607,27.069765271479433
IL10,7.3647761875583395,66.61282862722791
TNFalpha,5.061381890450229,36.76609071337339
CRP,9.779986828874513,118.25056502672129
ACTH,2.5267376565074455,13.582361317536847
PTC,0.7060582350359987,0.5347735830310616
