iter	Logloss
0	0.6589539806
1	0.6231526665
2	0.5913453105
3	0.5594301967
4	0.5384167766
5	0.5196488232
6	0.5074844351
7	0.4914514714
8	0.481100543
9	0.4704307769
10	0.4584962465
11	0.4379719061
12	0.4319496827
13	0.4198406226
14	0.4131192451
15	0.4000557715
16	0.3888776748
17	0.3844800391
18	0.373638375
19	0.3663012641
20	0.3600619282
21	0.353456825
22	0.3458978998
23	0.3384886349
24	0.3300537784
25	0.3265840602
26	0.3230592212
27	0.3172387628
28	0.3123631958
29	0.309070521
30	0.3027836937
31	0.299851907
32	0.2937110435
33	0.2821173519
34	0.2792325835
35	0.2755768916
36	0.2687587568
37	0.2629246364
38	0.2571307033
39	0.2535795163
40	0.2517036909
41	0.2492578197
42	0.2462953675
43	0.2402003396
44	0.2360474063
45	0.2284789444
46	0.226740315
47	0.2254577193
48	0.221047013
49	0.2175119719
50	0.2170968797
51	0.2143807564
52	0.2082872514
53	0.2053266918
54	0.2005114059
55	0.1967789913
56	0.1868509175
57	0.180731375
58	0.1783350357
59	0.1744206244
60	0.1724820487
61	0.1705436801
62	0.1680687994
63	0.1661843687
64	0.1630866871
65	0.159013271
66	0.1574692946
67	0.1555733016
68	0.1538247806
69	0.1517269931
70	0.1484645106
71	0.1440369192
72	0.1408699076
73	0.1361898513
74	0.1351129535
75	0.131573802
76	0.1298334279
77	0.12694035
78	0.1236606866
79	0.1217951741
80	0.1190219043
81	0.1168913149
82	0.1160528356
83	0.1130523252
84	0.1111069481
85	0.1093076237
86	0.1066797855
87	0.1046471139
88	0.1029307148
89	0.1005749103
90	0.09971129547
91	0.09703189974
92	0.09530744978
93	0.09346233416
94	0.09238481538
95	0.09123004159
96	0.09109564007
97	0.09018264118
98	0.08773949051
99	0.08689290135
100	0.08533192889
101	0.08380060166
102	0.08309993205
103	0.08243808215
104	0.08091079879
105	0.07916780763
106	0.07643496179
107	0.07493968935
108	0.0732356288
109	0.07220513576
110	0.07126794016
111	0.07016978062
112	0.06898756468
113	0.06838038471
114	0.0667678621
115	0.06607352813
116	0.06583714261
117	0.0650522096
118	0.06388201438
119	0.06231088419
120	0.06039235783
121	0.05898386235
122	0.05893637086
123	0.05851141659
124	0.05752140296
125	0.05748617616
126	0.05714307523
127	0.05656135245
128	0.05514512038
129	0.05361137939
130	0.05271853703
131	0.05206288602
132	0.05043555188
133	0.04906049414
134	0.0485972968
135	0.04792960288
136	0.04704670387
137	0.04626124966
138	0.04567815551
139	0.04459271902
140	0.04385121884
141	0.04351447574
142	0.04258653965
143	0.04227798169
144	0.04116623414
145	0.04036365815
146	0.03964585567
147	0.03876723711
148	0.03845939995
149	0.03824303788
150	0.03796846103
151	0.0373496041
152	0.03708789076
153	0.03661961825
154	0.03639166793
155	0.03559337609
156	0.03557309758
157	0.03496343731
158	0.03422336765
159	0.03409648832
160	0.03380771725
161	0.03366295098
162	0.03364983242
163	0.03347413458
164	0.0330026314
165	0.0329532954
