,IL6,IL10,TNFα,CRP,ACTH,PTC
IL6,1.0,-0.008145599389564169,-0.07140337555911117,0.3040195037361255,0.03299355843861578,0.10425261690358655
IL10,-0.008145599389564169,1.0,0.5047530638292983,0.07949654697782683,0.07493598061941603,0.16376379300110694
TNFα,-0.07140337555911117,0.5047530638292983,1.0,-0.027599480656111987,0.06307260283528611,0.12603853233240886
CRP,0.3040195037361255,0.07949654697782683,-0.027599480656111987,1.0,-0.044536663800015266,0.07649638387810062
ACTH,0.03299355843861578,0.07493598061941603,0.06307260283528611,-0.044536663800015266,1.0,0.535154375780817
PTC,0.10425261690358655,0.16376379300110694,0.12603853233240886,0.07649638387810062,0.535154375780817,1.0
