,No Pain,Pain
IL6,0.038461538461538464,0.04895104895104895
IL10,0.20710059171597633,0.17482517482517482
TNFα,0.21005917159763313,0.17482517482517482
CRP,0.008875739644970414,0.0
ACTH,0.0,0.013986013986013986
PTC,0.20414201183431951,0.18181818181818182
